title,info,picture,isFake
Router,"is a networking device that forwards data packets between computer networks. Routers perform the ""traffic directing"" functions on the Internet.",http://thumbs.dreamstime.com/t/wifi-router-antenna-signal-blue-41807304.jpg,0
Switch,"A network switch (also called switching hub, bridging hub, officially MAC bridge[1]) is a computer networking device that connects devices together on a computer network, by using packet switching to receive, process and forward data to the destination device.",https://upload.wikimedia.org/wikipedia/commons/d/d1/ERS-2500-Stack-of-8-croped.jpg,0
IP,"An Internet Protocol address (IP address) is a numerical label assigned to each device participating in a computer network that uses the Internet Protocol for communication. An IP address serves two principal functions: host or network interface identification and location addressing. Its role has been characterized as follows: ""A name indicates what we seek. An address indicates where it is. A route indicates how to get there.",https://norfipc.com/img/articulos/cambiar-direccion-ip.jpeg,0
WIFI,"Is a local area wireless computer networking technology that allows electronic devices to network, mainly using the 2.4 gigahertz and 5 gigahertz",https://upload.wikimedia.org/wikipedia/commons/9/94/Wifi.png,0
MAC,"A media access control address (MAC address) is a unique identifier assigned to network interfaces for communications on the physical network segment. MAC addresses are used as a network address for most IEEE 802 network technologies, including Ethernet and WiFi.",http://thewindowsclub.thewindowsclubco.netdna-cdn.com/wp-content/uploads/2015/04/What-is-MAC-Address.jpg,0
Ethernet,"Is a family of computer networking technologies for local area networks (LANs) and metropolitan area networks (MANs). It was commercially introduced in 1980 and first standardized in 1983 as IEEE 802.3, and has since been refined to support higher bit rates and longer link distances.",http://www.tech-faq.com/wp-content/uploads/Ethernet.jpg,0
Rack,"A 19-inch rack is a standardized frame or enclosure for mounting multiple equipment modules. Each module has a front panel that is 19 inches (482.6 mm) wide, including edges or ears that protrude on each side which allow the module to be fastened to the rack frame with screws.",http://rack19pulgadas.soimer.com/wp-content/uploads/2012/04/Rack-en-oferta.jpg,0
RJ45,"The RJ45 connector is standardized as the IEC 60603-7 8P8C modular connector with eight conductors. A Registered Jack (RJ) is a standardized telecommunication network interface for connecting voice and data equipment to a service provided by a local exchange carrier or long distance carrier. It is the standarised connector for computer networking specifications (RJ45), such as Ethernet.",http://dirana.com/wp-content/uploads/2010/07/rj45-cable-568b.gif,0
IPV6,"Is the most recent version of the Internet Protocol (IP), the communications protocol that provides an identification and location system for computers on networks and routes traffic across the Internet.",http://orbit-computer-solutions.com/images/ipv6001.png,0
SSID,"Is a set consisting of all the devices associated with a consumer or enterprise IEEE 802.11 wireless local area network (WLAN). The service set can be local, independent, extended or mesh.",http://openmaniak.com/kismet/kismet_linksys_beacon.png,0
TCP/IP,"Service sets have an associated identifier, the Service Set Identifier (SSID), which consists of 32 octets that frequently contains a human readable identifier of the network.",http://www.billslater.com/internet/how_tcp-ip_works_.jpg,0
